name	males	females	total	medianage	25thpercentile	75thpercentile
akeera	0	5	5	19.0	19.0	19.0
quaterrius	5	0	5	18.0	18.0	18.0
flava	0	5	5	94.0	94.0	94.0
lenorah	0	5	5	81.0	81.0	81.0
floribel	0	5	5	94.0	94.0	94.0
verley	21	84	105	85.0	80.75	94.5
johntavis	21	0	21	21.0	15.0	23.0
tanin	5	0	5	15.0	15.0	15.0
acencion	27	0	27	80.5	71.75	82.5
maged	17	0	17	22.0	18.0	23.0
miron	145	0	145	44.0	26.25	62.0
agripina	0	183	183	73.5	61.25	83.0
amish	216	0	216	34.0	29.0	38.0
berdena	0	377	377	80.5	73.0	85.25
bry	20	0	20	23.5	20.75	25.5
grizel	0	47	47	30.0	28.0	31.0
amisa	0	6	6	15.0	15.0	15.0
leinaala	0	51	51	37.0	25.0	38.0
naveed	339	0	339	24.0	20.0	28.0
agripino	6	0	6	87.0	87.0	87.0
aishani	0	9	9	15.0	15.0	15.0
lakysha	0	162	162	36.0	32.0	40.0
chasitty	0	51	51	22.0	20.0	29.0
luecile	0	35	35	96.0	93.0	97.0
bri	0	106	106	25.0	21.0	30.0
rosamond	6	2769	2775	68.5	57.0	80.0
takoda	417	7	424	17.0	16.0	18.0
thaliah	0	5	5	17.0	17.0	17.0
bre	0	265	265	25.0	19.0	33.0
lucye	0	24	24	88.0	84.0	93.0
jsaon	115	0	115	37.0	33.0	40.5
norelis	0	6	6	20.0	20.0	20.0
kahdijah	0	60	60	21.0	21.0	22.0
taku	25	0	25	23.0	21.0	24.0
lebern	5	0	5	97.0	97.0	97.0
unknown	8090	8517	16607	59.0	37.0	63.0
mykia	0	543	543	21.0	17.0	25.0
verle	1742	464	2206	71.0	60.0	80.0
afolabi	15	0	15	19.0	16.0	21.0
verla	0	5874	5874	72.0	62.0	80.0
edony	0	5	5	31.0	31.0	31.0
taka	0	46	46	38.0	37.0	39.0
lebert	82	0	82	77.0	68.0	81.0
verly	0	5	5	89.0	89.0	89.0
rayen	5	0	5	22.0	22.0	22.0
taki	18	5	23	38.0	26.5	38.0
rayel	0	42	42	22.0	17.25	23.0
katrinia	0	489	489	39.0	33.0	44.0
talissa	0	280	280	24.0	20.0	27.0
clover	28	984	1012	42.0	34.0	62.0
renald	504	0	504	58.0	35.0	69.0
letrese	0	5	5	28.0	28.0	28.0
reshia	0	5	5	34.0	34.0	34.0
mccall	49	676	725	22.0	19.0	26.0
rozita	0	23	23	49.0	49.0	54.0
buford	10305	105	10410	63.0	50.0	73.0
megaan	0	6	6	31.0	31.0	31.0
tashira	0	300	300	24.0	20.0	30.0
claryce	0	209	209	80.5	71.0	85.0
debrajo	0	11	11	60.0	34.0	60.0
tytan	23	0	23	16.0	15.0	16.5
annai	0	66	66	19.0	16.0	22.0
myna	0	212	212	65.0	56.5	76.0
mikai	35	5	40	16.0	15.0	17.0
adrielle	0	186	186	23.0	20.0	27.75
haris	427	0	427	19.0	17.0	23.0
riddhi	0	107	107	19.0	16.5	21.0
kimie	0	387	387	50.0	43.0	57.0
yunior	56	0	56	18.0	16.0	21.0
kimia	0	218	218	21.0	17.0	24.0
phylis	0	3311	3311	65.0	57.0	72.0
annakate	0	18	18	16.0	16.0	16.75
otha	5876	1225	7101	61.0	49.0	70.5
ceairra	0	123	123	19.0	17.0	22.0
donterrious	10	0	10	22.0	20.0	24.0
kabria	0	137	137	20.0	17.0	22.0
arbi	5	0	5	16.0	16.0	16.0
mikita	0	124	124	30.0	26.5	39.0
toland	25	0	25	40.0	40.0	43.0
lashanae	0	51	51	24.0	22.0	25.0
fumi	0	154	154	94.0	91.0	97.0
deza	0	6	6	18.0	18.0	18.0
ceaser	629	0	629	43.0	27.0	58.0
samisoni	5	0	5	27.0	27.0	27.0
contrena	0	5	5	46.0	46.0	46.0
canary	0	366	366	66.0	58.0	82.0
srinidhi	0	18	18	15.0	15.0	15.75
naima	0	877	877	31.0	21.0	37.0
zale	20	0	20	17.0	15.0	40.5
yerachmiel	41	0	41	18.0	17.0	28.0
dushon	34	6	40	44.0	24.0	46.0
zala	0	13	13	91.0	89.5	92.5
enrigue	749	0	749	40.0	31.0	53.0
romond	66	0	66	32.0	28.0	37.0
cornie	168	105	273	89.0	83.5	96.0
robt	420	0	420	85.0	75.0	93.5
romona	0	5088	5088	54.0	46.0	63.0
ryleigh	22	1089	1111	17.0	16.0	19.0
cornia	0	10	10	33.0	33.0	33.0
jaylah	0	354	354	16.0	15.0	18.0
yarisma	0	5	5	21.0	21.0	21.0
robi	100	341	441	42.0	32.5	51.0
deijon	11	0	11	21.0	15.0	21.0
najilah	0	5	5	15.0	15.0	15.0
verene	0	55	55	75.0	67.0	80.0
general	3001	0	3001	61.0	45.0	71.0
gaetan	78	0	78	24.0	19.0	62.0
robb	3164	0	3164	45.0	39.75	51.0
roba	0	11	11	23.0	23.0	23.0
javeria	0	22	22	19.0	17.0	26.0
yahaira	0	1999	1999	24.0	18.0	31.0
reniece	0	5	5	26.0	26.0	26.0
korea	0	79	79	22.0	18.0	25.0
shatory	0	5	5	22.0	22.0	22.0
koree	136	206	342	23.0	19.0	27.0
fontella	0	563	563	49.0	45.0	50.0
katonna	0	5	5	17.0	17.0	17.0
koren	33	1439	1472	38.0	30.0	45.0
fontelle	0	6	6	95.0	95.0	95.0
chilton	184	0	184	68.0	26.0	81.75
sakhi	0	5	5	16.0	16.0	16.0
shatori	0	77	77	22.0	20.0	23.0
raelyne	0	10	10	41.5	22.0	61.0
marylynn	0	1822	1822	52.0	35.5	61.0
korey	8278	1054	9332	27.0	22.0	35.0
sunnee	0	5	5	61.0	61.0	61.0
shatora	0	119	119	27.0	24.0	29.0
michaeldavid	43	0	43	29.0	27.0	31.0
talasha	0	5	5	20.0	20.0	20.0
chandrika	0	156	156	37.0	28.0	42.5
nahal	0	56	56	25.0	19.0	27.0
ayssa	0	97	97	22.0	20.0	25.0
keysia	0	5	5	42.0	42.0	42.0
lezer	5	0	5	32.0	32.0	32.0
cearah	0	5	5	23.0	23.0	23.0
afsaneh	0	17	17	28.0	27.0	35.0
dakari	311	10	321	18.0	16.0	21.0
ellora	0	86	86	18.0	16.0	22.0
bhargav	19	0	19	16.0	15.0	19.5
briajah	0	6	6	18.0	18.0	18.0
shardai	0	261	261	25.0	21.0	29.0
zelline	0	5	5	86.0	86.0	86.0
joas	61	0	61	23.0	18.0	28.0
doll	12	303	315	69.0	59.0	79.0
dola	0	805	805	71.0	63.0	81.0
rosabella	0	14	14	17.0	17.0	18.0
nobia	0	21	21	97.0	94.75	99.25
joab	293	0	293	24.0	19.0	32.0
tymira	0	41	41	18.0	17.0	20.0
charnel	0	66	66	34.0	24.0	41.0
aniruddha	5	0	5	18.0	18.0	18.0
siam	5	0	5	28.0	28.0	28.0
antha	0	283	283	74.0	68.0	85.0
milicent	0	101	101	45.0	41.0	51.0
joah	117	0	117	20.0	17.0	31.0
