Name	Males	Females	Total	MedianAge	25thPercentile	75thPercentile
Wills	10	0	10	62.0	62.0	62.0
Asim	527	0	527	27.0	20.0	35.0
Nafiz	10	0	10	19.0	15.0	23.0
Jannett	0	956	956	47.0	29.0	61.0
Willi	129	0	129	51.0	37.0	56.0
Mahely	0	5	5	19.0	19.0	19.0
Eun	5	278	283	32.0	25.0	40.0
Myshayla	0	7	7	16.0	16.0	16.0
Guadelupe	0	34	34	53.0	49.0	59.0
Willo	0	486	486	77.0	67.0	83.0
Eley	12	0	12	91.5	90.25	92.75
Willa	24	19462	19486	67.0	56.0	76.0
Robertson	420	0	420	37.0	27.0	52.0
Rillia	0	11	11	96.5	94.25	98.75
Wille	353	41	394	65.0	54.0	74.0
Jannete	0	46	46	23.5	22.0	25.5
Rillie	0	43	43	93.0	80.0	97.0
Keivn	5	0	5	38.0	38.0	38.0
Abbott	501	0	501	62.0	45.25	73.0
Jabree	186	46	232	20.0	17.0	22.0
Smithy	11	0	11	77.0	77.0	85.0
Rubina	0	432	432	33.0	24.0	43.5
Bailly	0	12	12	16.0	15.0	17.0
Lajoia	0	6	6	27.0	27.0	27.0
Shadra	0	6	6	36.0	36.0	36.0
Wahnita	0	5	5	97.0	97.0	97.0
Royer	83	0	83	21.0	19.0	23.0
Keiva	0	64	64	31.0	22.0	39.0
Montague	327	0	327	43.0	36.0	53.0
Sebastiaan	5	0	5	15.0	15.0	15.0
Micchael	6	0	6	57.0	57.0	57.0
Asif	411	0	411	28.0	22.0	33.0
Clairann	0	5	5	67.0	67.0	67.0
Jillean	0	47	47	35.0	30.0	37.0
Tannar	60	10	70	19.0	17.0	21.0
Harrietta	0	492	492	65.0	57.0	73.0
Tekila	0	57	57	33.0	29.0	34.0
Libera	0	48	48	100.0	94.25	102.25
Macio	119	0	119	25.0	22.0	36.0
Harriette	0	7644	7644	69.0	60.0	76.0
Hickory	5	0	5	42.0	42.0	42.0
Macil	0	175	175	87.0	72.0	95.25
Kashia	0	416	416	25.5	19.0	30.0
Macia	0	10	10	53.5	53.0	54.0
Alon	602	12	614	28.0	21.0	37.5
Libero	97	0	97	96.5	93.75	99.25
Macie	31	5622	5653	20.0	17.0	26.0
Peytan	0	26	26	16.0	15.0	17.0
Estelita	0	64	64	61.0	54.0	63.0
Cellia	0	46	46	85.0	64.0	88.5
Yevonne	0	303	303	55.0	48.0	65.0
Cellie	0	66	66	95.0	91.0	99.0
Shelissa	0	7	7	26.0	26.0	26.0
Lashavia	0	15	15	25.0	22.0	25.0
Lecory	5	0	5	34.0	34.0	34.0
Jakhari	71	0	71	17.0	16.0	19.0
